claim_id,policy_id,loss_date,report_date,loss_hour,paid_amount,claimant_phone,repair_shop,days_since_inception,true_label
CLM50001,POL100004,2025-02-16,2025-02-17,19,2056.01,555-5316,Union Collision,197,honest
CLM50002,POL100007,2025-11-08,2025-11-09,13,4421.04,555-5078,Union Collision,434,honest
CLM50003,POL100018,2024-11-18,2024-11-20,18,5282.58,555-3620,Bergen Collision,264,honest
CLM50004,POL100022,2025-06-04,2025-06-08,21,4133.21,555-6126,Maple Collision,67,honest
CLM50005,POL100028,2025-05-14,2025-05-19,17,3524.2,555-9589,Fulton Collision,11,honest
CLM50006,POL100030,2025-05-20,2025-05-24,19,5711.56,555-8326,Grand Collision,224,honest
CLM50007,POL100032,2025-06-19,2025-06-23,21,9707.62,555-4256,Fulton Collision,468,honest
CLM50008,POL100035,2024-09-17,2024-09-19,10,4273.36,555-9478,Astor Collision,140,honest
CLM50009,POL100039,2025-10-14,2025-10-14,15,8838.82,555-9755,Harbor Collision,546,honest
CLM50010,POL100053,2025-02-21,2025-02-25,18,12303.51,555-4608,Harbor Collision,294,honest
CLM50011,POL100057,2024-12-12,2024-12-13,4,7284.4,555-0104,Shop E Auto Body,25,ring
CLM50012,POL100075,2025-12-18,2025-12-18,6,2359.42,555-5732,Fulton Collision,351,honest
CLM50013,POL100081,2025-03-17,2025-03-21,18,4732.78,555-7490,Fulton Collision,431,honest
CLM50014,POL100096,2025-09-10,2025-09-10,11,16961.01,555-4679,Summit Collision,155,honest
CLM50015,POL100102,2025-08-14,2025-08-14,6,3331.11,555-9075,Astor Collision,362,honest
CLM50016,POL100103,2025-12-06,2025-12-10,16,23854.42,555-9854,Fulton Collision,379,inflated
CLM50017,POL100115,2024-11-02,2024-11-03,15,10723.83,555-8739,Fulton Collision,65,honest
CLM50018,POL100116,2025-09-05,2025-09-10,21,5104.45,555-3017,Grand Collision,295,honest
CLM50019,POL100125,2025-10-20,2025-10-23,8,2586.88,555-6359,Fulton Collision,358,honest
CLM50020,POL100126,2025-03-11,2025-03-11,8,12346.48,555-8481,Maple Collision,17,honest
CLM50021,POL100144,2025-04-05,2025-04-08,7,4141.55,555-2431,Astor Collision,207,honest
CLM50022,POL100150,2025-02-22,2025-02-22,3,22222.81,555-0104,Shop E Auto Body,31,ring
CLM50023,POL100154,2025-09-14,2025-09-19,11,6915.14,555-8042,Union Collision,77,honest
CLM50024,POL100155,2025-07-22,2025-07-27,10,4147.77,555-4872,Summit Collision,328,honest
CLM50025,POL100163,2024-10-01,2024-10-02,12,7815.96,555-9680,Sunrise Collision,194,honest
CLM50026,POL100165,2025-05-10,2025-05-10,18,2504.38,555-4547,Pioneer Collision,342,honest
CLM50027,POL100177,2025-07-27,2025-07-30,6,9853.31,555-4346,Sunrise Collision,65,honest
CLM50028,POL100180,2024-11-09,2024-11-13,19,6309.36,555-5777,Union Collision,181,honest
CLM50029,POL100181,2025-10-19,2025-10-22,20,7339.57,555-3525,Summit Collision,151,honest
CLM50030,POL100186,2025-11-19,2025-11-23,10,4437.93,555-8617,Maple Collision,248,honest
CLM50031,POL100193,2024-10-08,2024-10-11,8,8677.34,555-4453,Astor Collision,11,honest
